City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
252,Pujehun,SL,7.3581,-11.7208,97.05,28,2,5.21,clear sky
253,Kloulklubed,PW,7.0419,134.2556,81.1,78,99,15.39,overcast clouds
254,Giresun,TR,40.5,38.5,24.12,88,90,9.84,overcast clouds
255,Arkhara,RU,49.4212,130.0842,-23.15,100,70,3.06,broken clouds
256,Bomet,KE,-0.7813,35.3416,65.75,60,100,1.28,overcast clouds
257,Pochutla,MX,15.7432,-96.4661,77.83,49,3,3.98,clear sky
258,Kiama,AU,-34.6833,150.8667,64.0,75,100,3.0,overcast clouds
259,Noumea,NC,-22.2763,166.4572,75.18,80,99,2.75,overcast clouds
260,Manoel Urbano,BR,-8.8389,-69.2597,75.51,92,99,2.55,overcast clouds
261,Cap Malheureux,MU,-19.9842,57.6142,80.47,86,100,17.0,light rain
262,Talnakh,RU,69.4865,88.3972,-13.83,99,100,6.08,overcast clouds
263,Cayenne,GF,4.9333,-52.3333,87.84,82,20,5.99,few clouds
264,Cidreira,BR,-30.1811,-50.2056,82.8,66,0,12.26,clear sky
265,Quesnel,CA,52.9999,-122.5029,21.7,86,100,10.36,overcast clouds
266,Manacapuru,BR,-3.2997,-60.6206,81.18,87,87,4.45,overcast clouds
267,Kalmunai,LK,7.4167,81.8167,77.11,74,1,4.59,clear sky
268,Qandala,SO,11.472,49.8728,76.62,68,0,8.12,clear sky
269,Kununurra,AU,-15.7667,128.7333,78.78,94,100,0.0,overcast clouds
270,Kichera,RU,55.9375,110.0997,-8.84,90,60,2.98,broken clouds
271,East London,ZA,-33.0153,27.9116,75.15,82,81,15.14,light rain
272,Tuy Hoa,VN,13.0833,109.3,73.31,91,98,11.59,overcast clouds
273,Maniitsoq,GL,65.4167,-52.9,22.71,93,100,20.96,light snow
274,Provideniya,RU,64.3833,-173.3,3.88,61,58,22.97,broken clouds
275,Dabat,ET,12.9842,37.765,64.18,42,91,7.11,overcast clouds
276,Araouane,ML,18.9048,-3.5265,82.62,7,35,11.65,scattered clouds
277,Talcahuano,CL,-36.7167,-73.1167,62.28,77,100,6.91,overcast clouds
278,Joshimath,IN,30.5667,79.5667,39.51,96,100,1.99,overcast clouds
279,Gorontalo,ID,0.5412,123.0595,74.21,95,100,4.7,light rain
280,Coolum Beach,AU,-26.5333,153.1,71.33,99,100,15.99,overcast clouds
281,Houlton,US,46.1262,-67.8403,38.71,82,100,5.75,moderate rain
282,Bellevue,US,47.6104,-122.2007,45.23,90,90,1.99,mist
283,Kushiro,JP,42.975,144.3747,17.8,87,92,3.29,overcast clouds
284,Altamont,US,42.2068,-121.7372,25.79,89,0,0.0,clear sky
285,Marawi,PH,7.9986,124.2928,68.65,89,100,2.28,overcast clouds
286,Zhangjiakou,CN,40.81,114.8794,9.97,62,25,9.01,light snow
287,Kedougou,SN,12.5579,-12.1743,97.74,6,0,5.88,clear sky
288,Sheffield Lake,US,41.4875,-82.1015,28.0,90,100,5.99,fog
289,Nome,US,64.5011,-165.4064,9.16,62,0,32.21,clear sky
290,Huangnihe,CN,43.5583,128.0239,-3.75,96,65,4.54,broken clouds
291,Balikpapan,ID,-1.2675,116.8289,79.79,83,20,2.3,few clouds
292,Samarai,PG,-10.6167,150.6667,80.35,80,95,11.18,overcast clouds
293,Yulara,AU,-25.2406,130.9889,67.84,49,78,10.36,broken clouds
294,Esmeralda,CU,21.8525,-78.1169,79.84,59,15,14.63,few clouds
295,Humaita,BR,-7.5061,-63.0208,80.02,77,99,1.03,overcast clouds
296,Vao,NC,-22.6667,167.4833,79.45,86,99,15.03,overcast clouds
297,Oranjestad,AW,12.524,-70.027,79.11,82,4,19.82,clear sky
298,Ostrovnoy,RU,68.0531,39.5131,20.19,75,100,11.41,overcast clouds
299,Isangel,VU,-19.55,169.2667,78.84,88,100,6.58,heavy intensity rain
300,Clarence Town,AU,-32.5833,151.7833,67.95,91,98,8.72,overcast clouds
301,Kirakira,SB,-10.4544,161.9205,78.87,88,100,6.44,light rain
302,Sainte-Maxime,FR,43.3,6.6333,60.93,80,100,10.67,overcast clouds
303,Praia Da Vitoria,PT,38.7333,-27.0667,58.8,73,65,10.92,broken clouds
304,Punta Cardon,VE,11.6581,-70.215,81.37,68,0,21.25,clear sky
305,Tongliao,CN,43.6125,122.2653,-0.99,85,2,8.52,clear sky
